[2018-12-23 21:29:54] [INFO] pro: 21/580 ...
[2018-12-23 21:30:00] [INFO] pro: 22/580 ...
[2018-12-23 21:30:13] [INFO] pro: 23/580 ...
[2018-12-23 21:30:28] [INFO] pro: 24/580 ...
[2018-12-23 21:30:35] [INFO] pro: 25/580 ...
[2018-12-23 21:30:43] [INFO] pro: 26/580 ...
[2018-12-23 21:30:53] [INFO] pro: 27/580 ...
[2018-12-23 21:32:08] [INFO] pro: 28/580 ...
[2018-12-23 21:32:27] [INFO] pro: 29/580 ...
[2018-12-23 21:32:48] [INFO] pro: 30/580 ...
[2018-12-23 21:33:30] [INFO] pro: 31/580 ...
[2018-12-23 21:33:56] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom116.html Exc..., try again after 10s
[2018-12-23 21:33:56] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Max retries exceeded with url: /db/journals/comcom/comcom116.html (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.VerifiedHTTPSConnection object at 0x000001FD40EFC400>, 'Connection to dblp.uni-trier.de timed out. (connect timeout=20)'))
[2018-12-23 21:35:10] [INFO] pro: 32/580 ...
[2018-12-23 21:35:29] [INFO] pro: 33/580 ...
[2018-12-23 21:35:37] [INFO] pro: 34/580 ...
[2018-12-23 21:35:45] [INFO] pro: 35/580 ...
[2018-12-23 21:36:23] [INFO] pro: 36/580 ...
[2018-12-23 21:36:39] [INFO] pro: 37/580 ...
[2018-12-23 21:36:45] [INFO] pro: 38/580 ...
[2018-12-23 21:36:49] [INFO] pro: 39/580 ...
[2018-12-23 21:37:42] [INFO] pro: 40/580 ...
[2018-12-23 21:37:49] [INFO] pro: 41/580 ...
[2018-12-23 21:37:59] [INFO] pro: 42/580 ...
[2018-12-23 21:38:07] [INFO] pro: 43/580 ...
[2018-12-23 21:38:15] [INFO] pro: 44/580 ...
[2018-12-23 21:38:25] [INFO] pro: 45/580 ...
[2018-12-23 21:38:34] [INFO] pro: 46/580 ...
[2018-12-23 21:38:43] [INFO] pro: 47/580 ...
[2018-12-23 21:39:18] [INFO] pro: 48/580 ...
[2018-12-23 21:39:35] [INFO] pro: 49/580 ...
[2018-12-23 21:40:03] [INFO] pro: 50/580 ...
[2018-12-23 21:40:04] [INFO] [{'name': 'toplas', 'num': 32}, {'name': 'tosem', 'num': 34}, {'name': 'tse', 'num': 122}, {'name': 'ase', 'num': 54}, {'name': 'ese', 'num': 196}, {'name': 'tsc', 'num': 155}, {'name': 'ton', 'num': 481}, {'name': 'tdsc', 'num': 139}, {'name': 'tochi', 'num': 72}, {'name': 'tocs', 'num': 25}, {'name': 'ai', 'num': 154}, {'name': 'pieee', 'num': 301}, {'name': 'infsof', 'num': 310}, {'name': 'jfp', 'num': 43}, {'name': 'smr', 'num': 136}, {'name': 'jss', 'num': 434}, {'name': 're', 'num': 47}, {'name': 'scp', 'num': 204}, {'name': 'sosym', 'num': 116}, {'name': 'spe', 'num': 200}, {'name': 'stvr', 'num': 42}, {'name': 'jsac', 'num': 431}, {'name': 'tmc', 'num': 488}, {'name': 'toit', 'num': 97}, {'name': 'tomccap', 'num': 153}, {'name': 'tosn', 'num': 49}, {'name': 'cn', 'num': 596}, {'name': 'tcom', 'num': 896}, {'name': 'twc', 'num': 1201}, {'name': 'adhoc', 'num': 222}, {'name': 'comcom', 'num': 431}, {'name': 'tifs', 'num': 507}, {'name': 'joc', 'num': 65}, {'name': 'tissec', 'num': 48}, {'name': 'compsec', 'num': 351}, {'name': 'dcc', 'num': 301}, {'name': 'jcs', 'num': 46}, {'name': 'ejisec', 'num': 18}, {'name': 'ijmms', 'num': 198}, {'name': 'cscw', 'num': 71}, {'name': 'hhci', 'num': 44}, {'name': 'iwc', 'num': 80}, {'name': 'umuai', 'num': 26}, {'name': 'ijhci', 'num': 179}, {'name': 'thms', 'num': 168}, {'name': 'behaviourIT', 'num': 174}, {'name': 'percom', 'num': 257}, {'name': 'tc', 'num': 330}, {'name': 'tpds', 'num': 487}] has written 11211 rows to json successfully!
[2018-12-23 21:40:16] [INFO] pro: 51/580 ...
[2018-12-23 21:40:25] [INFO] pro: 52/580 ...
[2018-12-23 21:40:33] [INFO] pro: 53/580 ...
[2018-12-23 21:40:41] [INFO] pro: 54/580 ...
[2018-12-23 21:40:49] [INFO] pro: 55/580 ...
[2018-12-23 21:41:00] [INFO] pro: 56/580 ...
[2018-12-23 21:41:06] [INFO] pro: 57/580 ...
[2018-12-23 21:41:20] [INFO] pro: 58/580 ...
[2018-12-23 21:41:36] [INFO] pro: 59/580 ...
[2018-12-23 21:41:47] [INFO] pro: 60/580 ...
[2018-12-23 21:41:54] [INFO] pro: 61/580 ...
